March,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
CJI: Zafft,9.0,9.0,0.0,"$1,215.00",$0.00,data/pdfs/page-4/2021/June2021.pdf
Drake,18.6,15.6,3.0,"$3,666.00",$0.00,data/pdfs/page-4/2021/June2021.pdf
Drake (Exec. Ass't),2.0,2.0,0.0,$75.00,$0.00,data/pdfs/page-4/2021/June2021.pdf
Joyce,31.6,31.6,0.0,"$7,426.00",$0.00,data/pdfs/page-4/2021/June2021.pdf
Meares,6.0,6.0,0.0,"$1,410.00",$0.00,data/pdfs/page-4/2021/June2021.pdf
O'Toole,13.9,13.9,0.0,"$3,266.50",$0.00,data/pdfs/page-4/2021/June2021.pdf
Ramsey,52.3,52.3,0.0,"$12,290.50",$0.00,data/pdfs/page-4/2021/June2021.pdf
Smoot,1.5,1.5,0.0,$352.50,$0.00,data/pdfs/page-4/2021/June2021.pdf
Villasenor,79.9,61.4,18.5,"$14,429.00","$1,718.83",data/pdfs/page-4/2021/June2021.pdf
Neighborhood Liaisons,90.0,90.0,0.0,"$1,800.00",$0.00,data/pdfs/page-4/2021/June2021.pdf
Kelly,13.6,7.5,6.1,"$1,762.50",$0.00,data/pdfs/page-4/2021/June2021.pdf
Dupont,36.9,25.3,11.6,"$5,945.50",$0.00,data/pdfs/page-4/2021/June2021.pdf
Bowman,76.5,59.5,17.0,"$13,982.50","$1,422.47",data/pdfs/page-4/2021/June2021.pdf
Maxey,27.9,24.9,3.0,"$5,851.50",$0.00,data/pdfs/page-4/2021/June2021.pdf
Total,666.2,565.8,100.4,"$134,864.00","$3,417.38",data/pdfs/page-4/2021/June2021.pdf
November,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Thompson,52.3,41.4,10.9,"$19,665.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Rosenthal,23.8,15.4,8.4,"$7,315.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Aden,34.9,34.9,0.0,"$8,201.50",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Barge,19.5,17.4,2.1,"$4,089.00",$279.49,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Bethel,4.0,4.0,0.0,$940.00,$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
CJI: Lawrence,0.8,0.8,0.0,$108.00,$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
CJI: Wasileski,3.0,3.0,0.0,$600.00,$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
CJI: Zafft,18.5,18.5,0.0,"$2,497.50",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Drake,7.0,6.0,1.0,"$1,410.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Drake (Exec. Ass't),4.5,4.5,0.0,$168.75,$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Goodrich,1.0,1.0,0.0,$235.00,$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Joyce,18.6,16.1,2.5,"$3,783.50",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Meares,9.8,9.8,0.0,"$2,303.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
O'Toole,0.6,0.6,0.0,$141.00,$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Ramsey,12.3,10.3,2.0,"$2,420.50",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Smoot,15.9,13.4,2.5,"$3,149.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Villasenor,21.3,16.7,4.6,"$3,924.50",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Wharton,55.0,55.0,0.0,"$4,125.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Kelly,14.15,12.85,1.3,"$3,019.75",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Dupont,34.0,24.0,10.0,"$5,640.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Bowman,26.5,21.0,5.5,"$4,935.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Maxey,15.4,12.4,3.0,"$2,914.00",$0.00,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
Total,527.85,474.05,53.8,"$84,285.00",$279.49,data/pdfs/page-4/2020/November+2020+Invoice+Package(51026679.1).pdf
February,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Thompson,58.3,36,22.3,"$17,100.00",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Rosenthal,110.5,75.2,35.3,"$35,720.00",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Aden,49.5,41,8.5,"$9,635.00",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Barge,44,33.5,10.5,"$7,872.50","$1,214.32",data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Drake,9.4,5.6,3.8,"$1,316.00",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Drake (Exec. Ass't),30,30,0,"$1,125.00",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Joyce,10.5,6.5,4,"$1,527.50",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Meares,4.6,4.6,0,"$1,081.00",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
O'Toole,1.5,1.5,0,$352.50,$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Ramsey,13.5,11.5,2,"$2,702.50",$210.35,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Smoot,36,31,5,"$7,285.00",$430.93,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Villasenor,57.8,41.8,16,"$9,823.00","$2,078.32",data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Ray Kelly,17.4,17.4,0,"$4,089.00",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Darnyle Wharton,60,60,0,"$4,500.00",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Neighborhood Liaisons,111.75,111.75,0,"$2,235.00",$225.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Dupont,48.6,24.6,24,"$5,781.00",$815.67,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Bowman,63.9,49.4,14.5,"$11,609.00",$993.97,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Maxey,20.2,17.2,3,"$4,042.00",$0.00,data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
Total,727.25,598.55,148.9,"$127,796.00","$5,968.56",data/pdfs/page-4/2020/February+2020+Invoice+Package(48886487.1).pdf
January,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Thompson,49.1,30.6,18.5,"$14,535.00",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Rosenthal,110.1,77.8,32.3,"$36,955.00",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Aden,60.5,47,13.5,"$11,045.00",$197.83,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Barge,83.7,46.6,37.1,"$10,951.00","$1,617.79",data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
CJI: Cole,9,9,0,"$2,115.00",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
CJI: Lawrence,9.5,9.5,0,"$1,282.50",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
CJI: Zafft,32,32,0,"$4,320.00",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
CJI: Wasileski,60,60,0,"$12,000.00",$688.88,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Drake,10,7.3,2.7,"$1,715.50",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Drake (Exec. Ass't),40.7,40.7,0,"$1,526.25",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Joyce,29,20,9,"$4,700.00",$437.24,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Meares,37.5,22.5,15,"$5,287.50","$1,641.92",data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Ramsey,28,22,6,"$5,170.00",$417.80,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Smoot,34.5,30.5,4,"$7,167.50","$1,107.02",data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Villasenor,81.8,63.8,18,"$14,993.00","$3,291.38",data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Ray Kelly,22.5,22.5,0,"$5,287.50",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Darnyle Wharton,60,60,0,"$4,500.00",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Neighborhood Liaisons,114.65,114.65,0,"$2,293.00",$225.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Dupont,23.7,20.7,3,"$4,864.50",$0.00,data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Bowman,35.8,25.8,10,"$6,063.00","$1,376.20",data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Maxey,42.2,32.5,9.7,"$7,637.50","$3,186.28",data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
Total,932.05,795.45,178.8,"$164,408.75","$14,187.34",data/pdfs/page-4/2020/Invoice+January+2020(48689152.1)+(1).pdf
May,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Thompson,69.2,55.7,13.5,"$26,457.50",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Rosenthal,43.2,19.2,24.0,"$9,120.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Aden,42.0,34.5,7.5,"$8,107.50",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Barge,34.2,31.2,3.0,"$7,332.00",$295.47,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
CJI: Wasileski -Mar,15.0,15.0,0.0,"$3,000.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
CJI: Lawrence -Apr,3.0,3.0,0.0,$405.00,$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
CJI: Cole -Apr/May,3.0,3.0,0.0,$705.00,$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
CJI: Zafft -Apr/May,18.0,18.0,0.0,"$2,430.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Drake,11.3,7.5,3.8,"$1,762.50",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Drake (Exec. Ass't),26.8,26.8,0.0,"$1,005.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Joyce,23.7,19.7,4.0,"$4,629.50",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Meares,2.5,2.5,0.0,$587.50,$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
O'Toole,3.5,2.5,1.0,$587.50,$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Ramsey,19.0,15.0,4.0,"$3,525.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Smoot,35.6,28.6,7.0,"$6,721.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Villasenor,20.6,14.9,5.7,"$3,501.50",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Darnyle Wharton,40.0,40.0,0.0,"$3,000.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Dupont,21.9,16.4,5.5,"$3,854.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Bowman,27.8,12.6,15.2,"$2,961.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Maxey,18.4,15.4,3.0,"$3,619.00",$0.00,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
Total,613.7,516.5,97.2,"$96,010.50",$295.47,data/pdfs/page-4/2020/May+2020+Invoice+Package(49574184.1).pdf
April,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Thompson,52.6,29.2,23.4,"$13,870.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Rosenthal,65.6,35.7,29.9,"$16,957.50",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Aden,39,31,8,"$7,285.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Barge,35.4,31.9,3.5,"$7,496.50",$295.47,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
CJI: Wasileski -Jan/Feb,30,30,0,"$6,000.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
CJI: Lawrence -Mar,7.5,7.5,0,"$1,012.50",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
CJI: Zafft -Mar,29,29,0,"$3,915.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Drake,7.2,5.7,1.5,"$1,339.50",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Drake (Exec. Ass't),38.4,38.4,0,"$1,440.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Joyce,21.3,19.8,1.5,"$4,653.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Meares,6.4,4.4,2,"$1,034.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Ramsey,16,14,2,"$3,290.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Smoot,28.2,21.7,6.5,"$5,099.50",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Villasenor,18.9,13.5,5.4,"$3,172.50",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Ray Kelly,9.65,9.65,0,"$2,267.75",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Darnyle Wharton,40,40,0,"$3,000.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Neighborhood Liaisons,135,135,0,"$2,700.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Dupont,14.5,8.4,6.1,"$1,974.00",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Bowman,39.1,15.5,23.6,"$3,642.50",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Maxey,10.1,8.9,1.2,"$2,091.50",$0.00,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
Total,633.75,529.25,114.6,"$92,240.75",$295.47,data/pdfs/page-4/2020/April+2020+Invoice+Package(49232510.1).pdf
July,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Thompson,38.8,28.1,10.7,"$13,347.50",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Rosenthal,125.7,86.3,39.4,"$40,992.50",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Aden,49.5,43.5,6.0,"$10,222.50",$33.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Barge,27.5,25.4,2.1,"$5,969.00",$295.47,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Bethel,3.0,3.0,0.0,$705.00,$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
CJI: Wasileski,12.0,12.0,0.0,"$2,400.00",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
CJI: Zafft,7.0,7.0,0.0,$945.00,$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Drake,7.8,6.8,1.0,"$1,598.00",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Drake (Exec. Ass't),32.5,32.5,0.0,"$1,218.75",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Joyce,45.6,43.1,2.5,"$10,128.50",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Meares,3.0,3.0,0.0,$705.00,$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
O'Toole,2.9,2.9,0.0,$681.50,$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Ramsey,26.8,26.8,0.0,"$6,298.00",$152.20,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Smoot,35.9,35.9,0.0,"$8,436.50",$53.25,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Villasenor,42.9,38.8,4.1,"$9,118.00",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Darnyle Wharton,60.0,60.0,0.0,"$4,500.00",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Neighborhood Liaisons,135.0,135.0,0.0,"$2,700.00",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Ray Kelly,22.8,19.45,3.38,"$4,570.75",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Dupont,63.3,33.3,30.0,"$7,825.50",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Bowman,24.1,16.3,7.8,"$3,830.50",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Maxey,12.8,9.8,3.0,"$2,303.00",$0.00,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
Total,778.9,669.0,110.0,"$138,495.50",$533.92,data/pdfs/page-4/2020/July+2020+Invoice+Package(49974671.1).pdf
March,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Thompson,41.4,26.7,14.7,"$12,682.50",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Rosenthal,83.1,59.5,23.6,"$28,262.50",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Aden,53,41.5,11.5,"$9,752.50",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Barge,31.7,28.2,3.5,"$6,627.00",$295.47,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
CJI: Cole -Jan,7.5,7.5,0,"$1,762.50",$515.35,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
CJI: Lawrence -Jan/Feb,8.5,8.5,0,"$1,147.50",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
CJI: Zafft -Jan/Feb,50,50,0,"$6,750.00",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Drake,8.7,6.2,2.5,"$1,457.00",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Drake (Exec. Ass't),31.5,31.5,0,"$1,181.25",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Joyce,22.5,18.5,4,"$4,347.50",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Meares,29,19.5,9.5,"$4,582.50","$1,109.80",data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
O'Toole,3,2,1,$470.00,$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Ramsey,30,24.5,5.5,"$5,757.50",$431.58,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Smoot,36.3,25.8,10.5,"$6,063.00",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Villasenor,20.8,20.8,0,"$4,888.00",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Ray Kelly,13.7,9.8,3.9,"$2,303.00",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Darnyle Wharton,42.6,42.6,0,"$3,195.00",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Neighborhood Liaisons,135,135,0,"$2,700.00",$225.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Dupont,41,16,25,"$3,760.00",$946.74,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Bowman,34.4,34.4,0,"$8,084.00",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Maxey,23.3,19.6,3.7,"$4,606.00",$0.00,data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
Total,723.7,628.1,118.9,"$120,379.25","$3,523.94",data/pdfs/page-4/2020/March+2020+Invoice+Package(49068322.1)-compressed.pdf
October,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Thompson,88,58.9,29.1,"$27,977.50",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Rosenthal,80,37.4,42.6,"$17,765.00",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Aden,56,47,9,"$11,045.00",$60.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Barge,20.6,20,0.6,"$4,700.00",$295.47,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Bethel,35,30,5,"$7,050.00",$191.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Drake,20.9,7.3,13.6,"$1,715.50",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Drake (Exec. Ass't),37.3,37.3,0,"$1,398.75",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Joyce,5,5,0,"$1,175.00",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Goodrich (+Sept),26,26,0,"$6,110.00",$687.73,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Meares,4.7,4.7,0,"$1,104.50",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
O'Toole,20.4,20.4,0,"$4,794.00",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Ramsey,46.9,34.4,12.5,"$8,084.00",$529.50,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Smoot,37,25.5,11.5,"$5,992.50",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Villasenor,11.5,9.5,2,"$2,232.50",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Ray Kelly,25.4,18.1,7.3,"$4,253.50",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Darnyle Wharton,50.7,50.7,0,"$3,802.50",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Neighborhood Liaisons,109.7,109.7,0,"$2,194.00",$225.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Dupont,36.2,16.4,19.8,"$3,854.00",$868.44,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Bowman,14.9,14.9,0,"$3,501.50",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Maxey,39.7,24.2,15.5,"$5,687.00",$0.00,data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
Total,726.2,597.4,168.5,"$124,436.75","$2,857.14",data/pdfs/page-4/2020/October+2019+Invoice+Package(48085011.1).pdf
December,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Thompson,38.9,29.6,9.3,"$14,060.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Rosenthal,50.1,35.6,14.5,"$16,910.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Aden,56.0,49.0,7.0,"$11,515.00",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Barge,23.4,20.9,2.5,"$4,911.50",$279.49,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Bethel,3.0,3.0,0.0,$705.00,$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
CJI: Wasileski,4.0,4.0,0.0,$800.00,$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
CJI: Zafft,20.5,20.5,0.0,"$2,767.50",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
Drake,13.7,10.7,3.0,"$2,514.50",$0.00,data/pdfs/page-4/2020/December+2020+Invoice+Package(51335637.1).pdf
